rank,char,count,ratio
1,space,198063,0.184829
2,e,105154,0.098128
3,t,77098,0.071946
4,a,68766,0.064171
5,o,66386,0.061950
6,i,58442,0.054537
7,h,57672,0.053818
8,n,56173,0.052420
9,s,52602,0.049087
10,r,49243,0.045953
11,d,37279,0.034788
12,l,33480,0.031243
13,u,25555,0.023847
14,m,23496,0.021926
15,\n,23380,0.021818
16,w,22538,0.021032
17,c,20824,0.019433
18,f,17853,0.016660
19,y,17417,0.016253
20,g,16102,0.015026
21,p,12859,0.012000
22,b,12405,0.011576
23,v,8591,0.008017
24,k,6907,0.006445
25,x,1204,0.001124
26,j,961,0.000897
27,q,679,0.000634
28,z,475,0.000443
