rank,char,count,ratio
1,space,198063,0.184829
2,e,104744,0.097745
3,t,74540,0.069559
4,a,67413,0.062908
5,o,65944,0.061538
6,n,55537,0.051826
7,h,55305,0.051610
8,i,51962,0.048490
9,s,50965,0.047560
10,r,49028,0.045752
11,d,36605,0.034159
12,l,32940,0.030739
13,u,25481,0.023778
14,\n,23380,0.021818
15,m,21624,0.020179
16,w,20809,0.019419
17,c,20144,0.018798
18,f,17487,0.016319
19,y,16646,0.015534
20,g,15701,0.014652
21,p,12561,0.011722
22,b,11168,0.010422
23,v,8438,0.007874
24,k,6866,0.006407
25,I,6480,0.006047
26,T,2558,0.002387
27,H,2367,0.002209
28,M,1872,0.001747
29,W,1729,0.001613
30,S,1637,0.001528
31,A,1353,0.001263
32,B,1237,0.001154
33,x,1200,0.001120
34,Y,771,0.000719
35,C,680,0.000635
36,D,674,0.000629
37,q,653,0.000609
38,N,636,0.000594
39,j,626,0.000584
40,L,540,0.000504
41,z,473,0.000441
42,O,442,0.000412
43,E,410,0.000383
44,G,401,0.000374
45,F,366,0.000342
46,J,335,0.000313
47,P,298,0.000278
48,R,215,0.000201
49,V,153,0.000143
50,U,74,0.000069
51,K,41,0.000038
52,Q,26,0.000024
53,X,4,0.000004
54,Z,2,0.000002
