rank,char,count,ratio
1,I,6480,0.006047
2,T,2558,0.002387
3,H,2367,0.002209
4,M,1872,0.001747
5,W,1729,0.001613
6,S,1637,0.001528
7,A,1353,0.001263
8,B,1237,0.001154
9,Y,771,0.000719
10,C,680,0.000635
11,D,674,0.000629
12,N,636,0.000594
13,L,540,0.000504
14,O,442,0.000412
15,E,410,0.000383
16,G,401,0.000374
17,F,366,0.000342
18,J,335,0.000313
19,P,298,0.000278
20,R,215,0.000201
21,V,153,0.000143
22,U,74,0.000069
23,K,41,0.000038
24,Q,26,0.000024
25,X,4,0.000004
26,Z,2,0.000002
